-3, nan, nan, -nan, nan, -nan, nan
-2.73, nan, nan, -nan, nan, -nan, nan
-2.724, nan, nan, -nan, nan, -nan, nan
-2.718, nan, nan, -nan, nan, -nan, nan
-2.712, nan, nan, -nan, nan, -nan, nan
-2.706, nan, nan, -nan, nan, -nan, nan
-2.7, nan, nan, -nan, nan, -nan, nan
-2.694, nan, nan, -nan, nan, -nan, nan
-2.688, nan, nan, -nan, nan, -nan, nan
-2.682, nan, nan, -nan, nan, -nan, nan
-2.676, nan, nan, -nan, nan, -nan, nan
-2.67, nan, nan, -nan, nan, -nan, nan
-2.664, nan, nan, -nan, nan, -nan, nan
-2.658, nan, nan, -nan, nan, -nan, nan
-2.652, nan, nan, -nan, nan, -nan, nan
-2.646, nan, nan, -nan, nan, -nan, nan
-2.64, nan, nan, -nan, nan, -nan, nan
-2.634, nan, nan, -nan, nan, -nan, nan
-2.628, nan, nan, -nan, nan, -nan, nan
-2.622, nan, nan, -nan, nan, -nan, nan
-2.616, nan, nan, -nan, nan, -nan, nan
-2.61, nan, nan, -nan, nan, -nan, nan
-2.604, nan, nan, -nan, nan, -nan, nan
-2.598, nan, nan, -nan, nan, -nan, nan
-2.592, nan, nan, -nan, nan, -nan, nan
-2.586, nan, nan, -nan, nan, -nan, nan
-2.58, nan, nan, -nan, nan, -nan, nan
-2.574, nan, nan, -nan, nan, -nan, nan
-2.568, nan, nan, -nan, nan, -nan, nan
-2.562, nan, nan, -nan, nan, -nan, nan
-2.556, nan, nan, -nan, nan, -nan, nan
-2.55, nan, nan, -nan, nan, -nan, nan
-2.544, nan, nan, -nan, nan, -nan, nan
-2.538, nan, nan, -nan, nan, -nan, nan
-2.532, nan, nan, -nan, nan, -nan, nan
-2.526, nan, nan, -nan, nan, -nan, nan
-2.52, nan, nan, -nan, nan, -nan, nan
-2.514, nan, nan, -nan, nan, -nan, nan
-2.508, nan, nan, -nan, nan, -nan, nan
-2.502, nan, nan, -nan, nan, -nan, nan
-2.496, nan, nan, -nan, nan, -nan, nan
-2.49, nan, nan, -nan, nan, -nan, nan
-2.484, nan, nan, -nan, nan, -nan, nan
-2.478, nan, nan, -nan, nan, -nan, nan
-2.472, nan, nan, -nan, nan, -nan, nan
-2.466, nan, nan, -nan, nan, -nan, nan
-2.46, nan, nan, -nan, nan, -nan, nan
-2.454, nan, nan, -nan, nan, -nan, nan
-2.448, nan, nan, -nan, nan, -nan, nan
-2.442, nan, nan, -nan, nan, -nan, nan
-2.436, nan, nan, -nan, nan, -nan, nan
-2.43, nan, nan, -nan, nan, -nan, nan
-2.424, nan, nan, -nan, nan, -nan, nan
-2.418, nan, nan, -nan, nan, -nan, nan
-2.412, nan, nan, -nan, nan, -nan, nan
-2.406, nan, nan, -nan, nan, -nan, nan
-2.4, nan, nan, -nan, nan, -nan, nan
-2.394, nan, nan, -nan, nan, -nan, nan
-2.388, nan, nan, -nan, nan, -nan, nan
-2.382, nan, nan, -nan, nan, -nan, nan
-2.376, nan, nan, -nan, nan, -nan, nan
-2.37, nan, nan, -nan, nan, -nan, nan
-2.364, nan, nan, -nan, nan, -nan, nan
-2.358, nan, nan, -nan, nan, -nan, nan
-2.352, nan, nan, -nan, nan, -nan, nan
-2.346, nan, nan, -nan, nan, -nan, nan
-2.34, nan, nan, -nan, nan, -nan, nan
-2.334, nan, nan, -nan, nan, -nan, nan
-2.328, nan, nan, -nan, nan, -nan, nan
-2.322, nan, nan, -nan, nan, -nan, nan
-2.316, nan, nan, -nan, nan, -nan, nan
-2.31, nan, nan, -nan, nan, -nan, nan
-2.304, nan, nan, -nan, nan, -nan, nan
-2.298, nan, nan, -nan, nan, -nan, nan
-2.292, nan, nan, -nan, nan, -nan, nan
-2.286, nan, nan, -nan, nan, -nan, nan
-2.28, nan, nan, -nan, nan, -nan, nan
-2.274, nan, nan, -nan, nan, -nan, nan
-2.268, nan, nan, -nan, nan, -nan, nan
-2.262, nan, nan, -nan, nan, -nan, nan
-2.256, nan, nan, -nan, nan, -nan, nan
-2.25, nan, nan, -nan, nan, -nan, nan
-2.244, nan, nan, -nan, nan, -nan, nan
-2.238, nan, nan, -nan, nan, -nan, nan
-2.232, nan, nan, -nan, nan, -nan, nan
-2.226, nan, nan, -nan, nan, -nan, nan
-2.22, nan, nan, -nan, nan, -nan, nan
-2.214, nan, nan, -nan, nan, -nan, nan
-2.208, nan, nan, -nan, nan, -nan, nan
-2.202, nan, nan, -nan, nan, -nan, nan
-2.196, nan, nan, -nan, nan, -nan, nan
-2.19, nan, nan, -nan, nan, -nan, nan
-2.184, nan, nan, -nan, nan, -nan, nan
-2.178, nan, nan, -nan, nan, -nan, nan
-2.172, nan, nan, -nan, nan, -nan, nan
-2.166, nan, nan, -nan, nan, -nan, nan
-2.16, nan, nan, -nan, nan, -nan, nan
-2.154, nan, nan, -nan, nan, -nan, nan
-2.148, nan, nan, -nan, nan, -nan, nan
-2.142, nan, nan, -nan, nan, -nan, nan
-2.136, nan, nan, -nan, nan, -nan, nan
-2.13, nan, nan, -nan, nan, -nan, nan
-2.124, nan, nan, -nan, nan, -nan, nan
-2.118, nan, nan, -nan, nan, -nan, nan
-2.112, nan, nan, -nan, nan, -nan, nan
-2.106, nan, nan, -nan, nan, -nan, nan
-2.1, nan, nan, -nan, nan, -nan, nan
-2.094, nan, nan, -nan, nan, -nan, nan
-2.088, nan, nan, -nan, nan, -nan, nan
-2.082, nan, nan, -nan, nan, -nan, nan
-2.076, nan, nan, -nan, nan, -nan, nan
-2.07, nan, nan, -nan, nan, -nan, nan
-2.064, nan, nan, -nan, nan, -nan, nan
-2.058, nan, nan, -nan, nan, -nan, nan
-2.052, nan, nan, -nan, nan, -nan, nan
-2.046, nan, nan, -nan, nan, -nan, nan
-2.04, nan, nan, -nan, nan, -nan, nan
-2.034, nan, nan, -nan, nan, -nan, nan
-2.028, nan, nan, -nan, nan, -nan, nan
-2.022, nan, nan, -nan, nan, -nan, nan
-2.016, nan, nan, -nan, nan, -nan, nan
-2.01, nan, nan, -nan, nan, -nan, nan
-2.004, nan, nan, -nan, nan, -nan, nan
-1.998, nan, nan, -nan, nan, -nan, nan
-1.992, nan, nan, -nan, nan, -nan, nan
-1.986, nan, nan, -nan, nan, -nan, nan
-1.98, nan, nan, -nan, nan, -nan, nan
-1.974, nan, nan, -nan, nan, -nan, nan
-1.968, nan, nan, -nan, nan, -nan, nan
-1.962, nan, nan, -nan, nan, -nan, nan
-1.956, nan, nan, -nan, nan, -nan, nan
-1.95, nan, nan, -nan, nan, -nan, nan
-1.944, nan, nan, -nan, nan, -nan, nan
-1.938, nan, nan, -nan, nan, -nan, nan
-1.932, nan, nan, -nan, nan, -nan, nan
-1.926, nan, nan, -nan, nan, -nan, nan
-1.92, nan, nan, -nan, nan, -nan, nan
-1.914, nan, nan, -nan, nan, -nan, nan
-1.908, nan, nan, -nan, nan, -nan, nan
-1.902, nan, nan, -nan, nan, -nan, nan
-1.896, nan, nan, -nan, nan, -nan, nan
-1.89, nan, nan, -nan, nan, -nan, nan
-1.884, nan, nan, -nan, nan, -nan, nan
-1.878, nan, nan, -nan, nan, -nan, nan
-1.872, nan, nan, -nan, nan, -nan, nan
-1.866, nan, nan, -nan, nan, -nan, nan
-1.86, nan, nan, -nan, nan, -nan, nan
-1.854, nan, nan, -nan, nan, -nan, nan
-1.848, nan, nan, -nan, nan, -nan, nan
-1.842, nan, nan, -nan, nan, -nan, nan
-1.836, nan, nan, -nan, nan, -nan, nan
-1.83, nan, nan, -nan, nan, -nan, nan
-1.824, nan, nan, -nan, nan, -nan, nan
-1.818, nan, nan, -nan, nan, -nan, nan
-1.812, nan, nan, -nan, nan, -nan, nan
-1.806, nan, nan, -nan, nan, -nan, nan
-1.8, nan, nan, -nan, nan, -nan, nan
-1.794, nan, nan, -nan, nan, -nan, nan
-1.788, nan, nan, -nan, nan, -nan, nan
-1.782, nan, nan, -nan, nan, -nan, nan
-1.776, nan, nan, -nan, nan, -nan, nan
-1.77, nan, nan, -nan, nan, -nan, nan
-1.764, nan, nan, -nan, nan, -nan, nan
-1.758, nan, nan, -nan, nan, -nan, nan
-1.752, nan, nan, -nan, nan, -nan, nan
-1.746, nan, nan, -nan, nan, -nan, nan
-1.74, nan, nan, -nan, nan, -nan, nan
-1.734, nan, nan, -nan, nan, -nan, nan
-1.728, nan, nan, -nan, nan, -nan, nan
-1.722, nan, nan, -nan, nan, -nan, nan
-1.716, nan, nan, -nan, nan, -nan, nan
-1.71, nan, nan, -nan, nan, -nan, nan
-1.704, nan, nan, -nan, nan, -nan, nan
-1.698, nan, nan, -nan, nan, -nan, nan
-1.692, nan, nan, -nan, nan, -nan, nan
-1.686, nan, nan, -nan, nan, -nan, nan
-1.68, nan, nan, -nan, nan, -nan, nan
-1.674, nan, nan, -nan, nan, -nan, nan
-1.668, nan, nan, -nan, nan, -nan, nan
-1.662, nan, nan, -nan, nan, -nan, nan
-1.656, nan, nan, -nan, nan, -nan, nan
-1.65, nan, nan, -nan, nan, -nan, nan
-1.644, nan, nan, -nan, nan, -nan, nan
-1.638, nan, nan, -nan, nan, -nan, nan
-1.632, nan, nan, -nan, nan, -nan, nan
-1.626, nan, nan, -nan, nan, -nan, nan
-1.62, nan, nan, -nan, nan, -nan, nan
-1.614, nan, nan, -nan, nan, -nan, nan
-1.608, nan, nan, -nan, nan, -nan, nan
-1.602, nan, nan, -nan, nan, -nan, nan
-1.596, nan, nan, -nan, nan, -nan, nan
-1.59, nan, nan, -nan, nan, -nan, nan
-1.584, nan, nan, -nan, nan, -nan, nan
-1.578, nan, nan, -nan, nan, -nan, nan
-1.572, nan, nan, -nan, nan, -nan, nan
-1.566, nan, nan, -nan, nan, -nan, nan
-1.56, nan, nan, -nan, nan, -nan, nan
-1.554, nan, nan, -nan, nan, -nan, nan
-1.548, nan, nan, -nan, nan, -nan, nan
-1.542, nan, nan, -nan, nan, -nan, nan
-1.536, nan, nan, -nan, nan, -nan, nan
-1.53, nan, nan, -nan, nan, -nan, nan
-1.524, nan, nan, -nan, nan, -nan, nan
-1.518, nan, nan, -nan, nan, -nan, nan
-1.512, nan, nan, -nan, nan, -nan, nan
-1.506, nan, nan, -nan, nan, -nan, nan
-1.5, nan, nan, -nan, nan, -nan, nan
-1.494, nan, nan, -nan, nan, -nan, nan
-1.488, nan, nan, -nan, nan, -nan, nan
-1.482, nan, nan, -nan, nan, -nan, nan
-1.476, nan, nan, -nan, nan, -nan, nan
-1.47, nan, nan, -nan, nan, -nan, nan
-1.464, nan, nan, -nan, nan, -nan, nan
-1.458, nan, nan, -nan, nan, -nan, nan
-1.452, nan, nan, -nan, nan, -nan, nan
-1.446, nan, nan, -nan, nan, -nan, nan
-1.44, nan, nan, -nan, nan, -nan, nan
-1.434, nan, nan, -nan, nan, -nan, nan
-1.428, nan, nan, -nan, nan, -nan, nan
-1.422, nan, nan, -nan, nan, -nan, nan
-1.416, nan, nan, -nan, nan, -nan, nan
-1.41, nan, nan, -nan, nan, -nan, nan
-1.404, nan, nan, -nan, nan, -nan, nan
-1.398, nan, nan, -nan, nan, -nan, nan
-1.392, nan, nan, -nan, nan, -nan, nan
-1.386, nan, nan, -nan, nan, -nan, nan
-1.38, nan, nan, -nan, nan, -nan, nan
-1.374, nan, nan, -nan, nan, -nan, nan
-1.368, nan, nan, -nan, nan, -nan, nan
-1.362, nan, nan, -nan, nan, -nan, nan
-1.356, nan, nan, -nan, nan, -nan, nan
-1.35, nan, nan, -nan, nan, -nan, nan
-1.344, nan, nan, -nan, nan, -nan, nan
-1.338, nan, nan, -nan, nan, -nan, nan
-1.332, nan, nan, -nan, nan, -nan, nan
-1.326, nan, nan, -nan, nan, -nan, nan
-1.32, nan, nan, -nan, nan, -nan, nan
-1.314, nan, nan, -nan, nan, -nan, nan
-1.308, nan, nan, -nan, nan, -nan, nan
-1.302, nan, nan, -nan, nan, -nan, nan
-1.296, nan, nan, -nan, nan, -nan, nan
-1.29, nan, nan, -nan, nan, -nan, nan
-1.284, nan, nan, -nan, nan, -nan, nan
-1.278, nan, nan, -nan, nan, -nan, nan
-1.272, nan, nan, -nan, nan, -nan, nan
-1.266, nan, nan, -nan, nan, -nan, nan
-1.26, nan, nan, -nan, nan, -nan, nan
-1.254, nan, nan, -nan, nan, -nan, nan
-1.248, nan, nan, -nan, nan, -nan, nan
-1.242, nan, nan, -nan, nan, -nan, nan
-1.236, nan, nan, -nan, nan, -nan, nan
-1.23, nan, nan, -nan, nan, -nan, nan
-1.224, nan, nan, -nan, nan, -nan, nan
-1.218, nan, nan, -nan, nan, -nan, nan
-1.212, nan, nan, -nan, nan, -nan, nan
-1.206, nan, nan, -nan, nan, -nan, nan
-1.2, nan, nan, -nan, nan, -nan, nan
-1.194, nan, nan, -nan, nan, -nan, nan
-1.188, nan, nan, -nan, nan, -nan, nan
-1.182, nan, nan, -nan, nan, -nan, nan
-1.176, nan, nan, -nan, nan, -nan, nan
-1.17, nan, nan, -nan, nan, -nan, nan
-1.164, nan, nan, -nan, nan, -nan, nan
-1.158, nan, nan, -nan, nan, -nan, nan
-1.152, nan, nan, -nan, nan, -nan, nan
-1.146, nan, nan, -nan, nan, -nan, nan
-1.14, nan, nan, -nan, nan, -nan, nan
-1.134, nan, nan, -nan, nan, -nan, nan
-1.128, nan, nan, -nan, nan, -nan, nan
-1.122, nan, nan, -nan, nan, -nan, nan
-1.116, nan, nan, -nan, nan, -nan, nan
-1.11, nan, nan, -nan, nan, -nan, nan
-1.104, nan, nan, -nan, nan, -nan, nan
-1.098, nan, nan, -nan, nan, -nan, nan
-1.092, nan, nan, -nan, nan, -nan, nan
-1.086, nan, nan, -nan, nan, -nan, nan
-1.08, nan, nan, -nan, nan, -nan, nan
-1.074, nan, nan, -nan, nan, -nan, nan
-1.068, nan, nan, -nan, nan, -nan, nan
-1.062, nan, nan, -nan, nan, -nan, nan
-1.056, nan, nan, -nan, nan, -nan, nan
-1.05, nan, nan, -nan, nan, -nan, nan
-1.044, 0.0476553, -0.022592, -nan, nan, -nan, nan
-1.038, 0.0844764, -0.061061, -nan, nan, -nan, nan
-1.032, 0.121298, -0.0995301, -nan, nan, -nan, nan
-1.026, 0.158119, -0.137999, -nan, nan, -nan, nan
-1.02, 0.19494, -0.176468, -nan, nan, -nan, nan
-1.014, 0.231761, -0.214937, -nan, nan, -nan, nan
-1.008, 0.268582, -0.253406, -nan, nan, -nan, nan
-1.002, 0.305403, -0.291876, -nan, nan, -nan, nan
-0.996, 0.342225, -0.330345, 0.178706, -0.178706, 0.180067, -0.180067
-0.99, 0.379046, -0.368814, 0.282135, -0.282135, 0.282999, -0.282999
-0.984, 0.415867, -0.407283, 0.356337, -0.356337, 0.357021, -0.357021
-0.978, 0.452688, -0.445752, 0.41721, -0.41721, 0.417795, -0.417795
-0.972, 0.489509, -0.484221, 0.469962, -0.469962, 0.470481, -0.470481
-0.966, 0.52633, -0.52269, 0.517084, -0.517084, 0.517556, -0.517556
-0.96, 0.563152, -0.561159, 0.56, -0.56, 0.560436, -0.560436
-0.954, 0.599973, -0.599628, 0.599613, -0.599613, 0.60002, -0.60002
-0.948, 0.636794, -0.638097, 0.636541, -0.636541, 0.636924, -0.636924
-0.942, 0.673615, -0.676566, 0.671226, -0.671226, 0.671589, -0.671589
-0.936, 0.710436, -0.715036, 0.704, -0.704, 0.704347, -0.704347
-0.93, 0.747257, -0.753505, 0.735119, -0.735119, 0.735451, -0.735451
-0.924, 0.784079, -0.791974, 0.764785, -0.764785, 0.765104, -0.765104
-0.918, 0.8209, -0.830443, 0.793161, -0.793161, 0.793469, -0.793469
-0.912, 0.857721, -0.868912, 0.82038, -0.82038, 0.820678, -0.820678
-0.906, 0.894542, -0.907381, 0.846555, -0.846555, 0.846844, -0.846844
-0.9, 0.931363, -0.94585, 0.87178, -0.87178, 0.87206, -0.87206
-0.894, 0.968184, -0.984319, 0.896134, -0.896134, 0.896406, -0.896406
-0.888, 1.00501, -1.01511, 0.919687, -0.919687, 0.919952, -0.919952
-0.882, 1.04183, -1.02849, 0.942499, -0.942499, 0.942758, -0.942758
-0.876, 1.07865, -1.04188, 0.964622, -0.964622, 0.964875, -0.964875
-0.87, 1.11547, -1.05526, 0.986103, -0.986103, 0.986351, -0.986351
-0.864, 1.15229, -1.06865, 1.00698, -1.00698, 1.00723, -1.00723
-0.858, 1.18911, -1.08204, 1.0273, -1.0273, 1.02754, -1.02754
-0.852, 1.22593, -1.09542, 1.04708, -1.04708, 1.04732, -1.04732
-0.846, 1.26275, -1.10881, 1.06637, -1.06637, 1.06659, -1.06659
-0.84, 1.29957, -1.12219, 1.08517, -1.08517, 1.0854, -1.0854
-0.834, 1.3364, -1.13558, 1.10353, -1.10353, 1.10375, -1.10375
-0.828, 1.37322, -1.14896, 1.12146, -1.12146, 1.12167, -1.12167
-0.822, 1.41004, -1.16235, 1.13897, -1.13897, 1.13919, -1.13919
-0.816, 1.44686, -1.17573, 1.1561, -1.1561, 1.15631, -1.15631
-0.81, 1.48368, -1.18912, 1.17286, -1.17286, 1.17307, -1.17307
-0.804, 1.5205, -1.20251, 1.18926, -1.18926, 1.18946, -1.18946
-0.798, 1.55732, -1.21589, 1.20531, -1.20531, 1.20552, -1.20552
-0.792, 1.59414, -1.22928, 1.22104, -1.22104, 1.22124, -1.22124
-0.786, 1.63097, -1.24266, 1.23645, -1.23645, 1.23665, -1.23665
-0.78, 1.66779, -1.25605, 1.25156, -1.25156, 1.25175, -1.25175
-0.774, 1.70461, -1.26943, 1.26637, -1.26637, 1.26656, -1.26656
-0.768, 1.74143, -1.28282, 1.2809, -1.2809, 1.28109, -1.28109
-0.762, 1.77825, -1.2962, 1.29515, -1.29515, 1.29534, -1.29534
-0.756, 1.81507, -1.30959, 1.30914, -1.30914, 1.30933, -1.30933
-0.75, 1.85189, -1.32297, 1.32288, -1.32288, 1.32306, -1.32306
-0.744, 1.88871, -1.33636, 1.33636, -1.33636, 1.33654, -1.33654
-0.738, 1.92553, -1.34975, 1.3496, -1.3496, 1.34978, -1.34978
-0.732, 1.96236, -1.36313, 1.36261, -1.36261, 1.36279, -1.36279
-0.726, 1.99918, -1.37652, 1.37539, -1.37539, 1.37557, -1.37557
-0.72, 2.036, -1.3899, 1.38795, -1.38795, 1.38812, -1.38812
-0.714, 2.07282, -1.40329, 1.40029, -1.40029, 1.40047, -1.40047
-0.708, 2.10964, -1.41667, 1.41242, -1.41242, 1.4126, -1.4126
-0.702, 2.14646, -1.43006, 1.42435, -1.42435, 1.42453, -1.42453
-0.696, 2.18328, -1.44344, 1.43608, -1.43608, 1.43625, -1.43625
-0.69, 2.2201, -1.45683, 1.44762, -1.44762, 1.44779, -1.44779
-0.684, 2.25693, -1.47022, 1.45896, -1.45896, 1.45913, -1.45913
-0.678, 2.29375, -1.4836, 1.47012, -1.47012, 1.47029, -1.47029
-0.672, 2.33057, -1.49699, 1.4811, -1.4811, 1.48127, -1.48127
-0.666, 2.36739, -1.51037, 1.4919, -1.4919, 1.49207, -1.49207
-0.66, 2.40421, -1.52376, 1.50253, -1.50253, 1.50269, -1.50269
-0.654, 2.44103, -1.53592, 1.51299, -1.51299, 1.51315, -1.51315
-0.648, 2.47785, -1.54368, 1.52328, -1.52328, 1.52344, -1.52344
-0.642, 2.51467, -1.55144, 1.53341, -1.53341, 1.53357, -1.53357
-0.636, 2.55149, -1.5592, 1.54338, -1.54338, 1.54354, -1.54354
-0.63, 2.58832, -1.56696, 1.55319, -1.55319, 1.55335, -1.55335
-0.624, 2.62514, -1.57472, 1.56285, -1.56285, 1.563, -1.563
-0.618, 2.66196, -1.58248, 1.57236, -1.57236, 1.57251, -1.57251
-0.612, 2.69878, -1.59024, 1.58172, -1.58172, 1.58187, -1.58187
-0.606, 2.7356, -1.598, 1.59093, -1.59093, 1.59108, -1.59108
-0.6, 2.77242, -1.60575, 1.6, -1.6, 1.60015, -1.60015
-0.594, 2.80924, -1.61351, 1.60893, -1.60893, 1.60908, -1.60908
-0.588, 2.84606, -1.62127, 1.61772, -1.61772, 1.61787, -1.61787
-0.582, 2.88289, -1.62903, 1.62638, -1.62638, 1.62653, -1.62653
-0.576, 2.91971, -1.63679, 1.6349, -1.6349, 1.63505, -1.63505
-0.57, 2.95653, -1.64455, 1.64329, -1.64329, 1.64344, -1.64344
-0.564, 2.99335, -1.65231, 1.65155, -1.65155, 1.6517, -1.6517
-0.558, 3.03017, -1.66007, 1.65968, -1.65968, 1.65983, -1.65983
-0.552, 3.06699, -1.66783, 1.66769, -1.66769, 1.66783, -1.66783
-0.546, 3.10381, -1.67559, 1.67557, -1.67557, 1.67572, -1.67572
-0.54, 3.14063, -1.68334, 1.68333, -1.68333, 1.68348, -1.68348
-0.534, 3.17745, -1.6911, 1.69097, -1.69097, 1.69111, -1.69111
-0.528, 3.21428, -1.69886, 1.69849, -1.69849, 1.69863, -1.69863
-0.522, 3.2511, -1.70662, 1.70589, -1.70589, 1.70603, -1.70603
-0.516, 3.28792, -1.71438, 1.71318, -1.71318, 1.71332, -1.71332
-0.51, 3.32474, -1.72214, 1.72035, -1.72035, 1.72049, -1.72049
-0.504, 3.36156, -1.7299, 1.72741, -1.72741, 1.72755, -1.72755
-0.498, 3.39838, -1.73766, 1.73435, -1.73435, 1.73449, -1.73449
-0.492, 3.39783, -1.74542, 1.74119, -1.74119, 1.74133, -1.74133
-0.486, 3.38796, -1.75318, 1.74792, -1.74792, 1.74806, -1.74806
-0.48, 3.3781, -1.76094, 1.75454, -1.75454, 1.75468, -1.75468
-0.474, 3.36823, -1.76869, 1.76105, -1.76105, 1.76119, -1.76119
-0.468, 3.35837, -1.77645, 1.76746, -1.76746, 1.7676, -1.7676
-0.462, 3.34851, -1.78421, 1.77376, -1.77376, 1.7739, -1.7739
-0.456, 3.33864, -1.79197, 1.77996, -1.77996, 1.7801, -1.7801
-0.45, 3.32878, -1.79973, 1.78606, -1.78606, 1.78619, -1.78619
-0.444, 3.31891, -1.80749, 1.79205, -1.79205, 1.79219, -1.79219
-0.438, 3.30905, -1.81525, 1.79795, -1.79795, 1.79809, -1.79809
-0.432, 3.29919, -1.82301, 1.80375, -1.80375, 1.80388, -1.80388
-0.426, 3.28932, -1.83077, 1.80945, -1.80945, 1.80958, -1.80958
-0.42, 3.27946, -1.83853, 1.81505, -1.81505, 1.81518, -1.81518
-0.414, 3.26959, -1.84628, 1.82055, -1.82055, 1.82069, -1.82069
-0.408, 3.25973, -1.85404, 1.82596, -1.82596, 1.8261, -1.8261
-0.402, 3.24987, -1.8618, 1.83128, -1.83128, 1.83141, -1.83141
-0.396, 3.24, -1.86956, 1.8365, -1.8365, 1.83663, -1.83663
-0.39, 3.23014, -1.87732, 1.84163, -1.84163, 1.84176, -1.84176
-0.384, 3.22027, -1.88508, 1.84667, -1.84667, 1.8468, -1.8468
-0.378, 3.21041, -1.89284, 1.85161, -1.85161, 1.85174, -1.85174
-0.372, 3.20055, -1.9006, 1.85647, -1.85647, 1.8566, -1.8566
-0.366, 3.19068, -1.90836, 1.86123, -1.86123, 1.86136, -1.86136
-0.36, 3.18082, -1.91612, 1.8659, -1.8659, 1.86604, -1.86604
-0.354, 3.17095, -1.92388, 1.87049, -1.87049, 1.87062, -1.87062
-0.348, 3.16109, -1.93163, 1.87499, -1.87499, 1.87512, -1.87512
-0.342, 3.15122, -1.93939, 1.8794, -1.8794, 1.87953, -1.87953
-0.336, 3.14136, -1.94715, 1.88372, -1.88372, 1.88385, -1.88385
-0.33, 3.1315, -1.95491, 1.88796, -1.88796, 1.88809, -1.88809
-0.324, 3.12163, -1.96267, 1.89211, -1.89211, 1.89224, -1.89224
-0.318, 3.11177, -1.97043, 1.89618, -1.89618, 1.89631, -1.89631
-0.312, 3.1019, -1.97819, 1.90016, -1.90016, 1.90029, -1.90029
-0.306, 3.09204, -1.98595, 1.90406, -1.90406, 1.90419, -1.90419
-0.3, 3.08218, -1.99371, 1.90788, -1.90788, 1.90801, -1.90801
-0.294, 3.07231, -2.00147, 1.91161, -1.91161, 1.91174, -1.91174
-0.288, 3.06245, -2.00922, 1.91526, -1.91526, 1.91539, -1.91539
-0.282, 3.05258, -2.01698, 1.91883, -1.91883, 1.91896, -1.91896
-0.276, 3.04272, -2.02474, 1.92232, -1.92232, 1.92244, -1.92244
-0.27, 3.03286, -2.0325, 1.92572, -1.92572, 1.92585, -1.92585
-0.264, 3.02299, -2.04026, 1.92905, -1.92905, 1.92917, -1.92917
-0.258, 3.01313, -2.04802, 1.93229, -1.93229, 1.93242, -1.93242
-0.252, 3.00326, -2.05578, 1.93545, -1.93545, 1.93558, -1.93558
-0.246, 2.9934, -2.06354, 1.93854, -1.93854, 1.93867, -1.93867
-0.24, 2.98354, -2.0713, 1.94155, -1.94155, 1.94167, -1.94167
-0.234, 2.97367, -2.07906, 1.94447, -1.94447, 1.9446, -1.9446
-0.228, 2.96381, -2.08682, 1.94732, -1.94732, 1.94745, -1.94745
-0.222, 2.95394, -2.09457, 1.95009, -1.95009, 1.95022, -1.95022
-0.216, 2.94408, -2.10233, 1.95279, -1.95279, 1.95291, -1.95291
-0.21, 2.93422, -2.11009, 1.9554, -1.9554, 1.95553, -1.95553
-0.204, 2.92435, -2.11785, 1.95794, -1.95794, 1.95807, -1.95807
-0.198, 2.91449, -2.12561, 1.9604, -1.9604, 1.96053, -1.96053
-0.192, 2.90462, -2.13337, 1.96279, -1.96279, 1.96291, -1.96291
-0.186, 2.89476, -2.14113, 1.9651, -1.9651, 1.96522, -1.96522
